S731    187.72452  +12.28682  20.37   0.858  0.004   7.05  0.31     2
S878    187.70708  +12.28149  20.62   0.816  0.004   7.89  0.53     2
S952    187.69952  +12.27727  20.58   0.779  0.004   4.78  0.48     2
S1007   187.69344  +12.28971  19.41   1.023  0.002   6.94  0.13     2
S1074   187.68856  +12.27776  20.29   1.120  0.004   5.89  0.30     2
S1265   187.67009  +12.28303  19.82   0.772  0.003   5.23  0.20     2
H20493  187.87314  +12.15391  20.13   0.785  0.005   7.24  0.42     1
H21863  187.87253  +12.17069  20.54   0.977  0.006   8.25  0.42     1
H25785  187.86159  +12.21268  19.88   0.914  0.002   1.95  0.22     1
H26690  187.72956  +12.22270  19.70   0.990  0.002   7.56  0.16     2
H27496  187.80753  +12.23123  19.56   0.801  0.002   5.31  0.13     1
H27916  187.71521  +12.23610  20.45   0.756  0.004   5.46  0.37     2
H28411  187.70221  +12.24179  20.10   0.799  0.002   5.64  0.26     1
H28415  187.78343  +12.24165  19.71   0.925  0.002   7.80  0.16     1
H28866  187.75563  +12.24666  19.96   0.994  0.004   6.13  0.20     2
H30757  187.71996  +12.26691  20.20   0.809  0.002   6.04  0.28     2
H30772  187.74191  +12.26728  19.84   0.906  0.033   3.61  0.31     1
H31134  187.72735  +12.27091  20.04   0.821  0.003   8.22  0.23     1
T13456  187.92093  +12.46766  21.14   0.757  0.008   5.06  0.15     1
T13500  187.93052  +12.42406  20.55   0.767  0.004   3.49  0.26     1
T13559  187.93331  +12.37800  21.87   0.904  0.012   6.47  0.33     1
T13569  187.98853  +12.36469  21.93   0.695  0.015   3.77  0.25     1
T13571  187.89063  +12.36288  21.42   0.801  0.008   5.81  0.14     1
T13589  187.92350  +12.35406  21.71   0.773  0.012   4.14  0.22     1
T13593  187.90345  +12.35247  21.81   0.778  0.011   6.12  0.26     1
T13609  187.96307  +12.34319  21.95   0.729  0.014   6.58  0.23     1
T13611  187.92010  +12.34146  22.44   0.793  0.022   7.00  0.45     1
T13623  187.90570  +12.33556  21.49   0.764  0.011   4.96  0.14     1
T13642  187.94181  +12.32521  20.39   0.869  0.004   6.32  0.02     1
T13648  187.98298  +12.32301  21.79   0.731  0.020   3.99  0.21     1
T13899  187.84033  +12.42620  22.38   0.964  0.009   7.53  0.31     1
T13901  187.87673  +12.42616  21.83   0.853  0.013   5.56  0.20     1
T14060  187.87089  +12.38884  20.83   0.722  0.007   4.39  0.06     2
T14108  187.83846  +12.37504  19.82   0.908  0.002   6.23  0.01     1
T14133  187.84645  +12.37052  20.69   0.980  0.005   6.28  0.06     1
T14149  187.87374  +12.36463  21.84   0.773  0.013   6.42  0.31     1
T14228  187.84434  +12.35020  20.44   0.785  0.004   5.93  0.03     2
T15685  188.04605  +12.36726  22.08   0.730  0.017   5.37  0.31     1
T15777  188.14226  +12.45638  21.93   0.796  0.013   5.41  0.19     1
T15863  188.17885  +12.36688  21.36   0.753  0.008   5.64  0.11     1
T15886  188.15205  +12.34920  22.33   0.743  0.021   4.99  0.29     1
T15900  188.21484  +12.33844  20.60  99.999 99.999   4.20  0.06     1
T15908  188.15419  +12.33126  21.19   0.781  0.007   4.38  0.08     1
T16080  188.27954  +12.34479  21.00  99.999 99.999   6.21  0.07     1
T17211  188.33727  +12.48077  21.00  99.999 99.999   5.08  0.08     1
VUCD6   187.86816  +12.41766  18.63   0.896  0.001   5.69  0.01     1
VUCD8   188.01813  +12.34176  18.96   0.855  0.001   6.06  0.01     1
